类别,ATSS,Autoassign,CascadeRCNN,Centernet,DDOD,DINO,DynamicRCNN,Efficientnet,FasterRCNN,FCOS,FOVEA,FSAF,GFL,GridRCNN,LAD,LD,libra-faster RCNN,Ms RCNN,PAA,Regnetx,Reppoints,Retinanet,RPN,Sabl-faster RCNN,Scratch-faster RCNN,TOOD,Vnet,YoloX,Queryinst
hole,0.132,0.165,0.132,0.122,0.149,0.169,0.129,0.111,0.108,0.115,0.092,0.132,0.142,0.128,0.13,0.126,0.113,0.122,0.142,0.117,0.151,0.102,0,0.124,0.087,0.156,0.139,0.145,0.055
corrosion-pit,0.136,0.212,0.104,0.172,0.191,0.221,0.09,0.122,0.076,0.116,0.088,0.202,0.197,0.097,0.177,0.162,0.066,0.094,0.213,0.085,0.183,0.121,0,0.093,0.059,0.214,0.184,0.262,0.071
lightning-arrester,0.068,0.214,0.113,0.126,0.103,0.247,0.114,0.144,0.124,0.077,0.003,0.075,0.137,0.129,0.145,0.164,0.087,0.088,0.203,0.122,0.118,0.021,0,0.101,0.082,0.139,0.165,0.229,0.08
lightning-arrester-miss,0.442,0.509,0.463,0.315,0.239,0.325,0.425,0.232,0.305,0.22,0.0,0.08,0.341,0.408,0.376,0.271,0.521,0.482,0.278,0.455,0.21,0.005,0,0.411,0.306,0.41,0.31,0.407,0.12
sign,0.589,0.57,0.622,0.561,0.598,0.512,0.582,0.304,0.565,0.536,0.402,0.544,0.642,0.595,0.514,0.597,0.535,0.609,0.557,0.599,0.554,0.357,0,0.646,0.446,0.61,0.598,0.624,0.311
dirt,0.253,0.395,0.35,0.354,0.21,0.383,0.346,0.076,0.304,0.138,0.005,0.04,0.347,0.357,0.248,0.247,0.29,0.314,0.257,0.308,0.298,0.008,0,0.372,0.241,0.405,0.333,0.283,0.103
demould,0.012,0.008,0.032,0.066,0.028,0.02,0.009,0.004,0.01,0.045,0.0,0.005,0.036,0.058,0.013,0.049,0.006,0.019,0.016,0.06,0.036,0.0,0,0.015,0.0,0.026,0.01,0.03,0.017
stain,0.229,0.187,0.232,0.215,0.245,0.218,0.243,0.16,0.225,0.198,0.16,0.169,0.233,0.231,0.185,0.21,0.188,0.223,0.203,0.227,0.225,0.162,0,0.259,0.108,0.238,0.239,0.215,0.096
crack,0.172,0.184,0.238,0.179,0.217,0.178,0.233,0.182,0.221,0.132,0.086,0.145,0.181,0.24,0.184,0.164,0.191,0.217,0.198,0.22,0.22,0.133,0,0.245,0.147,0.228,0.248,0.196,0.155
leaf-opex,0.505,0.477,0.523,0.472,0.517,0.492,0.521,0.419,0.483,0.472,0.484,0.432,0.526,0.532,0.42,0.472,0.482,0.507,0.489,0.515,0.49,0.437,0,0.536,0.423,0.509,0.512,0.485,0.178
repair,0.595,0.511,0.558,0.573,0.516,0.297,0.603,0.441,0.547,0.52,0.401,0.471,0.628,0.606,0.537,0.57,0.52,0.538,0.546,0.608,0.592,0.416,0,0.646,0.376,0.586,0.576,0.555,0.102
swell,0.0,0.065,0.0,0.0,0.0,:0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.001,0.0,0.0
corrosion,0.501,0.508,0.545,0.495,0.552,0.535,0.519,0.467,0.503,0.505,0.465,0.406,0.539,0.484,0.419,0.436,0.448,0.475,0.482,0.49,0.507,0.437,0,0.562,0.397,0.539,0.555,0.537,0.379
degumming,0.5,0.483,0.548,0.476,0.541,0.572,0.525,0.412,0.501,0.453,0.452,0.462,0.514,0.515,0.451,0.482,0.469,0.532,0.514,0.51,0.505,0.383,0,0.536,0.421,0.54,0.511,0.479,0.401
painting-peel-off,0.33,0.199,0.328,0.286,0.281,0.323,0.319,0.291,0.306,0.319,0.027,0.115,0.376,0.189,0.28,0.342,0.279,0.168,0.256,0.317,0.277,0.031,0,0.299,0.112,0.268,0.381,0.273,0.143
teeth,0.557,0.526,0.497,0.551,0.549,0.599,0.588,0.451,0.357,0.506,0.335,0.276,0.616,0.528,0.316,0.484,0.366,0.325,0.499,0.354,0.521,0.227,0,0.551,0.307,0.568,0.614,0.575,0.338
oil,0.228,0.138,0.04,0.22,0.214,0.236,0.16,0.123,0.04,0.139,0.001,0.003,0.218,0.074,0.257,0.212,0.016,0.033,0.216,0.004,0.156,0.0,0,0.161,0.107,0.145,0.151,0.144,0.031
